entity_type,observable_type,observable_value,x_opencti_score,confidence,x_opencti_description,x_opencti_labels
indicator,Text,kaiwu-probes.Probes-ai,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,labfile.labfile,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Languages.hungarian,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,levicarlsson.shelly,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,luater.luatide,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Malkolm.Theme-ArtSchool-remake,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Malkolm.Theme-Ascetic-remake,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Malkolm.Theme-Aurora-remake,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Malkolm.Theme-azure-remake,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Malkolm.Theme-bashling-remake,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,MarcusHoffkin.mannequin,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,MarcusLockwood.wgbk,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,marketplacer.marketplacer,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,MarkH.chatgpt-autocoder-vscode,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,MarkH.claude-autocoder-vscode,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,MarkH.discord-rich-presence-vs,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,MarkH.golang-compiler-vscode,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,MarkH.html-obfuscator-vscode,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,MarkH.python-obfuscator-vscode,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,MarkH.rust-compiler-vs,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,MarkHutchins.markdown-preview-vs,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,MarkWood.nonmalicious2,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,me80758262.piiithon-linter,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,MediaLLC.solidyy,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,mercerllc.mercer-onboarding-helper,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,minlabs.quiet-code,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,MisterAAR.codex-ai-pro,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,mrcrispy.cpln,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,msjsdreact.react-native-vsce,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,newsporcolec.Penn-Elcom-Case-Designer-Crackepub-wonynoe,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,NFoundation.terraform-ai,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,NotToTest.NotToTest,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,OfekBickel.wpp,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,OmniMind.node-ai,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Onaga08.vibecode,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,OryonTechnology.oryon,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,otimiza.local-agent-screen-viewer,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,outthaway.sol2-lang,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,ovixcodes.basedpyright-vscode,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,ozz3dev.bitcoin-auto-trading,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,OzzyDev777.csharp-editor-pro,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,OzzyDev777.dark-ai-professional,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,OzzyDev777.gitlens-turbo-pro,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,OzzyDev777.peacock-professional-edition,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,pablaofficeal.taskmanager-vscode,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,pandaexpress.Theme-Anarchist-plugin,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,pandaexpress.Theme-AnarchistEighties-plugin,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,pandaexpress.Theme-ant-plugin,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,pandaexpress.Theme-Array-plugin,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,pandaexpress.Theme-arstotzka-plugin,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,piithon.piiithon-linter,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,platformio-dev.platform-io,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,poccccc.Download-Openal32dll-File-For-Dirt-2-Crack-kadiysy,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,prettierteam.prettier,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,priskinski.Theme-Afterglow-remake,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,priskinski.Theme-AgolaDark-remake,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,priskinski.Theme-AllHallowsEve-remake,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,priskinski.Theme-Amber-remake,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,priskinski.Theme-Amy-remake,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Prisma-Inc.prisma-studio-assistance,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,PriyanshuMallick.clipboard-history-manager,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,probes-team.probes,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Puglight.discoverito,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Puglight.elevatio,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Puglight.impacto,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Puglight.inspiredaily,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Puglight.lateralmovour,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Puglight.persistorito,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Puglight.realmvvscode,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Puglight.shadowcore,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Puglight.sysmotivate,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Puglight.vulnerabilitto,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,pythoner.Black-Molokai-Theme,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,QuantumCodeLabs.ai-code-explainer,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,QuantumCodeLabs.ai-doc-generator,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,QuantumCodeLabs.ai-test-generator,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,QuantumCodeLabs.ayu-theme,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,QuantumCodeLabs.darky-ai,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,QuantumCodeLabs.dracula-pro-theme,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,QuantumCodeLabs.qoodo-ai-assistant,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,RabobankAI.rabobank-code-assistant,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,RachelFront.asdtif,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,raidenshogun.javascript-null-sequence,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,reactsnippetsai.es7-react-js-snippets-ai,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,redmat.vscode-quarkus-pro,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,RileyMoore.stdrlabs-ext,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,sahil92552.cbe-456,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,saoudrizvsce.claude-devsce,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Sayantan710.ollot,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,seHunt-20241016.seHunt-20241016,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,seolmuah.jupyter-live-share,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,SFRA-FAKA.sfra-toolkit,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,ShowSnowcrypto.SnowShoNo,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,SmartContractAI.solaibot,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,SnippetsLabs.kendo-formatter,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,soIidity.cryptoovertheweekend4,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,solblanco.svetle-vsce,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Solid.dolibity-slang,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,SoliditFoundation.solidit-language,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,SoliditFoundation.solidits-language,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,StefanYosif.axion-ai,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,suspublisher18.susvsex,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,SymbiozTechnologie.mia-assistant,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,SyntaxDev.New-Christmas-Theme,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,tabnine-dev.tabnine-pro,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,TechSolutionsPro.bitcoin-cake-theme,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,testrl777.Solidity-Ethereum,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,theme-cyberpunk.theme-neon-cyberpunk,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,thesashkin.krnl-execute-thesashkin,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Trustworthy.mevscode,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,uladluch.antigravity-mobile-connector,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,uladluch.cursor-mobile-connector,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Utilities.wowlanguage,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,v8tech.v8-code,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,VanessaAster.etherefounds,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,VelocityCoderPro.velocitycodeproupdate,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,vialenliyu.Functionsandapplications11mcgrawhillryersonpdf13-sallole,90,90,Removed from VS Marketplace: Malware.,malware;critical
